Trial,Date,Time,Sub_ID,Subject_Age,Sub_group,Groupmates,Masc_ID,Masc_age,Masc_group,Masc_col,Masc_lum,Masc_score,Fem_ID,Fem_age,Fem_group,Fem_col,Fem_lum,Fem_score,Masc_diff,MD_cat,MD_cat2,Masc_R1_L0,Tapped_first_R1_L0,Look_time,Looked_first_R1_L0,Left_time,Right_time,Longer_R1_L0,Longer_M1_F0,Masc_time,Fem_time,Masc_perc
1,3/18/15,11:38 AM,4A0,10,R,Fem,30Z,9,F,0.1448,145,2.09,36V,9,R,0.1246,144.5,1.664,25.6,0,0,0,1,149,1,65,84,1,0,65,84,43.62
2,3/18/15,12:06 PM,4I5,5,R,Fem,88V,9,S,0.056,169.5,2.175,6B2,7,R,0.0648,142.75,1.666,30.5,0,0,0,1,103,1,20,83,1,0,20,83,19.42
3,3/18/15,12:58 PM,9L7,4,R,None,73Z,8,KK,0.0739,152.25,2.194,1B1,9,HH,0.0671,152.75,1.713,28.1,0,0,1,1,178,0,106,72,0,0,72,106,40.45
4,3/19/15,9:46 AM,6B0,9,R,None,73Z,8,KK,0.0739,152.25,2.194,7B2,7,V,0.0783,143.75,1.483,47.9,1,1,1,1,118,1,66,52,0,1,52,66,44.07
5,3/25/15,9:53 AM,0J5,5,KK,None,44H,16,R,0.0722,197.25,2.054,7B2,7,V,0.0783,143.75,1.483,38.5,1,1,0,1,401,0,217,184,0,1,217,184,54.11
6,3/25/15,10:59 AM,2D4,8,S,None,73Z,8,KK,0.0739,152.25,2.194,96T,9,R,0.0897,181.25,1.671,31.3,0,0,0,1,114,1,70,44,0,0,70,44,61.40
7,3/25/15,11:26 AM,9K6,4,S,Masc,88V,9,S,0.056,169.5,2.175,81O,12,R,0.1287,126.25,1.727,25.9,0,0,1,1,137,0,116,21,0,0,21,116,15.33
8,3/25/15,11:50 AM,3F4,7,R,Fem,73Z,8,KK,0.0739,152.25,2.194,81O,12,R,0.1287,126.25,1.727,27,0,0,0,1,81,0,46,35,0,1,46,35,56.79
9,3/26/15,9:45 AM,3J4,5,S,Masc,88V,9,S,0.056,169.5,2.175,7B3,7,V,0.055,191,1.819,19.5,0,0,1,0,52,0,24,28,1,0,28,24,53.85
10,3/26/15,10:41 AM,4D8,8,KK,None,88V,9,S,0.056,169.5,2.175,93R,11,S,0.1034,145,1.505,44.5,1,1,1,0,180,0,115,65,0,0,65,115,36.11
11,3/26/15,10:56 AM,3G2,6,S,None,74Z,8,R,0.1676,138.75,2.25,1B1,9,HH,0.0671,152.75,1.713,31.4,0,1,1,1,110,1,36,74,1,1,74,36,67.27
12,3/26/15,11:47 AM,88N,15,S,None,74Z,8,R,0.1676,138.75,2.25,96T,9,R,0.0897,181.25,1.671,34.6,1,1,0,0,61,0,31,30,0,1,31,30,50.82
13,3/27/15,11:17 AM,38Z,11,S,None,76Z,8,HH,0.061,164,2.212,36V,9,R,0.1246,144.5,1.664,32.9,1,1,1,1,61,0,43,18,0,0,18,43,29.51
